seed;pattern;best fractionary solution;best integer solution;status;time
306;[[4, 1, 2, 1, 4, 2], [2, 3, 2, 3, 5, 5], [0, 0, 2, 3, 2, 3], [3, 1, 4, 3, 4, 1], [1, 1, 5, 4, 4, 5], [0, 4, 2, 2, 4, 0], [0, 2, 2, 5, 0, 5], [0, 5, 0, 3, 3, 5], [5, 1, 3, 3, 1, 5], [0, 1, 1, 0, 4, 4]];None;1614;Feasible;7205.440517425537
33;[[4, 1, 1, 5, 4, 5], [5, 1, 3, 3, 1, 5], [3, 4, 5, 3, 4, 5], [0, 0, 2, 3, 2, 3], [1, 1, 2, 2, 5, 5], [0, 1, 0, 3, 3, 1], [0, 1, 4, 1, 4, 0], [0, 2, 2, 0, 4, 4], [2, 5, 2, 4, 4, 5], [0, 3, 2, 3, 0, 2]];None;1371;Feasible;7206.976386547089
690;[[1, 1, 2, 4, 4, 2], [4, 1, 1, 5, 4, 5], [3, 1, 4, 3, 4, 1], [0, 0, 3, 3, 5, 5], [0, 5, 2, 0, 2, 5], [5, 1, 2, 2, 1, 5], [2, 1, 2, 1, 4, 4], [0, 4, 0, 3, 4, 3], [0, 3, 5, 3, 0, 5], [0, 2, 2, 3, 3, 0]];None;1740;Feasible;7207.522683620453
89;[[0, 0, 2, 2, 4, 4], [0, 4, 3, 3, 4, 0], [2, 1, 2, 3, 3, 1], [5, 1, 2, 1, 2, 5], [0, 1, 1, 0, 5, 5], [0, 5, 0, 4, 4, 5], [0, 2, 2, 3, 0, 3], [4, 3, 2, 3, 4, 2], [3, 1, 5, 3, 1, 5], [1, 1, 4, 5, 4, 5]];None;2074;Feasible;7206.711957931519
966;[[4, 1, 3, 3, 4, 1], [1, 1, 2, 4, 4, 2], [0, 4, 5, 0, 4, 5], [0, 0, 2, 2, 5, 5], [5, 3, 2, 3, 2, 5], [2, 1, 2, 3, 1, 3], [3, 1, 1, 3, 4, 4], [0, 1, 4, 1, 4, 0], [0, 5, 0, 3, 3, 5], [0, 2, 2, 5, 0, 5]];None;1699;Feasible;7207.862333059311
