seed;pattern;best fractionary solution;best integer solution;status;time
279;[[0, 0, 3, 3], [0, 3, 0, 3], [0, 2, 2, 0], [1, 1, 2, 2], [2, 1, 2, 1], [3, 1, 1, 3]];None;715;Optimal;0.9262890815734863
433;[[0, 2, 2, 0], [0, 0, 2, 2], [0, 3, 0, 3], [1, 1, 3, 3], [3, 1, 1, 3], [2, 1, 2, 1]];None;914;Optimal;0.926276445388794
547;[[0, 2, 2, 0], [0, 0, 2, 2], [0, 3, 0, 3], [1, 1, 3, 3], [3, 1, 1, 3], [2, 1, 2, 1]];None;1115;Optimal;0.8732099533081055
910;[[2, 3, 2, 3], [0, 0, 2, 2], [0, 2, 2, 0], [0, 1, 0, 1], [1, 1, 3, 3], [3, 1, 1, 3]];None;772;Optimal;0.9895355701446533
937;[[0, 1, 1, 0], [0, 1, 0, 1], [0, 0, 3, 3], [2, 3, 2, 3], [3, 2, 2, 3], [1, 1, 2, 2]];None;383;Optimal;1.1446454524993896
