seed;pattern;best fractionary solution;best integer solution;status;time
335;[[6, 1, 1, 3, 4, 3, 6, 4], [3, 4, 7, 3, 4, 6, 6, 7], [0, 7, 4, 3, 4, 0, 3, 7], [0, 0, 2, 2, 5, 5, 7, 7], [0, 1, 5, 1, 0, 5, 6, 6], [7, 3, 2, 3, 6, 2, 6, 7], [2, 6, 2, 7, 4, 4, 6, 7], [0, 5, 2, 4, 4, 5, 0, 2], [0, 1, 3, 3, 1, 5, 5, 0], [4, 1, 6, 3, 4, 1, 6, 3], [1, 1, 2, 3, 3, 7, 2, 7], [5, 2, 2, 6, 7, 5, 6, 7], [0, 1, 2, 0, 2, 5, 1, 5], [0, 1, 0, 5, 4, 5, 4, 1]];None;4883;Feasible;73.33814430236816
376;[[1, 1, 3, 3, 7, 6, 6, 7], [0, 1, 0, 7, 6, 1, 6, 7], [0, 1, 1, 5, 0, 5, 7, 7], [0, 0, 2, 2, 4, 4, 6, 6], [6, 5, 4, 3, 4, 5, 6, 3], [7, 2, 2, 3, 4, 3, 4, 7], [3, 1, 2, 3, 2, 7, 1, 7], [0, 1, 7, 0, 1, 5, 5, 7], [5, 1, 6, 1, 4, 5, 6, 4], [2, 6, 2, 4, 4, 5, 6, 5], [4, 7, 2, 3, 4, 2, 3, 7], [0, 3, 2, 3, 5, 5, 2, 0], [0, 1, 5, 3, 3, 5, 0, 1], [0, 4, 2, 6, 4, 0, 6, 2]];None;3746;Feasible;72.09312748908997
397;[[6, 3, 2, 3, 2, 5, 6, 5], [2, 7, 2, 5, 6, 5, 6, 7], [0, 0, 2, 7, 5, 5, 2, 7], [1, 1, 4, 6, 4, 7, 6, 7], [4, 1, 1, 3, 4, 6, 6, 3], [3, 1, 6, 3, 4, 1, 6, 4], [0, 5, 2, 3, 3, 5, 0, 2], [7, 4, 2, 2, 4, 5, 5, 7], [0, 1, 0, 1, 4, 4, 7, 7], [0, 6, 2, 0, 7, 2, 6, 7], [0, 2, 2, 3, 0, 3, 6, 6], [5, 1, 3, 3, 4, 5, 4, 1], [0, 1, 5, 3, 1, 5, 3, 0], [0, 1, 7, 4, 4, 0, 1, 7]];None;4445;Feasible;67.96846795082092
504;[[5, 4, 2, 2, 4, 5, 7, 7], [4, 5, 2, 6, 4, 5, 6, 2], [0, 0, 2, 7, 5, 5, 2, 7], [0, 1, 0, 3, 4, 3, 1, 4], [6, 1, 4, 3, 4, 1, 6, 3], [0, 1, 3, 3, 0, 6, 6, 1], [7, 2, 2, 5, 6, 5, 6, 7], [0, 7, 5, 4, 4, 5, 0, 7], [0, 6, 7, 0, 4, 4, 6, 7], [3, 1, 6, 3, 1, 5, 6, 5], [1, 1, 2, 3, 3, 2, 6, 6], [2, 1, 2, 1, 4, 7, 4, 7], [0, 3, 2, 3, 2, 5, 5, 0], [0, 1, 1, 3, 7, 0, 3, 7]];None;3960;Feasible;71.66529870033264
55;[[0, 1, 0, 6, 5, 5, 6, 1], [0, 1, 2, 2, 1, 5, 5, 0], [1, 1, 2, 4, 4, 6, 6, 2], [0, 0, 4, 3, 4, 7, 3, 7], [0, 4, 2, 3, 4, 0, 2, 3], [5, 2, 2, 3, 3, 5, 6, 6], [6, 1, 1, 5, 7, 5, 6, 7], [7, 1, 5, 1, 6, 5, 6, 7], [0, 1, 7, 0, 4, 4, 1, 7], [0, 3, 2, 3, 4, 2, 0, 4], [2, 7, 2, 3, 4, 3, 4, 7], [3, 6, 2, 3, 2, 5, 6, 5], [4, 1, 6, 7, 4, 1, 6, 7], [0, 5, 3, 3, 0, 5, 7, 7]];None;3906;Feasible;72.28063464164734
