,Tiempo,# Optimo,# Timeout
MIP,7206.3379436016085,0.0,5.0
CP,7228.53587269783,0.0,5.0
IP Gen Col IP,7200.201316213608,0.0,5.0
IP Gen Col CP,47.18120913505554,5.0,0.0
