,Tiempo,# Optimo,# Timeout
MIP,7202.814632797241,0.0,5.0
CP,7206.902775716781,0.0,5.0
IP Gen Col IP,7200.478595066071,0.0,5.0
IP Gen Col CP,7201.1516144275665,0.0,5.0
