,Tiempo,# Optimo,# Timeout
MIP,7204.306248950958,0.0,5.0
CP,7215.983663511276,0.0,5.0
IP Gen Col IP,7200.401826572418,0.0,5.0
IP Gen Col CP,7200.590822601318,0.0,5.0
