seed;pattern;best fractionary solution;best integer solution;status;time
433;[[1, 1, 1, 3, 0, 2], [2, 3, 1, 0, 2, 2], [2, 1, 3, 0, 0, 0], [1, 3, 3, 3, 2, 0]];890.9999999999998;914.0;Optimal;148.38384342193604
547;[[2, 3, 1, 0, 0, 0], [1, 1, 1, 3, 0, 2], [2, 1, 3, 0, 2, 2], [1, 3, 3, 3, 2, 0]];1115.0;1115.0;Optimal;175.8951244354248
279;[[2, 3, 0, 1, 1, 1], [3, 3, 3, 0, 1, 2], [3, 0, 0, 0, 2, 1], [2, 0, 3, 1, 2, 2]];720.0;720.0;Optimal;189.25319361686707
910;[[0, 3, 1, 2, 0, 0], [1, 1, 1, 3, 0, 2], [0, 1, 3, 2, 2, 2], [1, 3, 3, 3, 2, 0]];774.0;774.0;Optimal;257.7620687484741
937;[[2, 3, 0, 1, 1, 1], [2, 2, 2, 0, 1, 3], [3, 2, 0, 0, 0, 1], [3, 3, 2, 1, 0, 3]];389.0;389.0;Optimal;315.74649596214294
