seed;pattern;best fractionary solution;best integer solution;status;time
306;[[0, 0, 0, 3, 1, 0, 4, 5, 2, 0], [2, 5, 0, 1, 1, 4, 3, 1, 1, 1], [2, 2, 4, 1, 3, 2, 5, 2, 2, 0], [4, 2, 5, 3, 3, 0, 3, 1, 3, 3], [4, 0, 4, 5, 4, 4, 4, 2, 3, 1], [0, 5, 5, 5, 4, 2, 5, 5, 1, 3]];1734.0000000000061;1734.0;Time Limit;7201.018429994583
33;[[2, 5, 0, 0, 1, 3, 4, 0, 0, 0], [1, 4, 0, 1, 1, 1, 2, 5, 3, 1], [2, 2, 5, 1, 2, 2, 2, 3, 0, 4], [3, 2, 4, 0, 3, 3, 5, 3, 3, 1], [1, 4, 4, 5, 3, 2, 4, 0, 4, 4], [3, 5, 5, 5, 2, 1, 5, 5, 4, 0]];1515.0000000000014;1515.0;Time Limit;7200.921120166779
690;[[5, 0, 0, 0, 2, 1, 4, 0, 0, 3], [1, 5, 0, 2, 1, 1, 1, 4, 3, 1], [1, 4, 3, 2, 2, 2, 5, 0, 2, 2], [4, 0, 3, 3, 3, 2, 1, 5, 3, 3], [4, 4, 5, 0, 3, 4, 4, 4, 2, 1], [5, 5, 5, 3, 1, 4, 5, 5, 0, 2]];1756.0;1756.0;Time Limit;7201.390284776688
966;[[4, 3, 0, 0, 2, 5, 1, 0, 0, 0], [1, 1, 4, 0, 3, 1, 1, 1, 5, 2], [5, 1, 2, 2, 2, 3, 2, 4, 0, 2], [1, 3, 2, 3, 3, 3, 4, 0, 3, 5], [4, 4, 4, 2, 5, 1, 4, 4, 3, 0], [5, 4, 0, 3, 5, 5, 2, 1, 5, 5]];1714.999999999995;1715.0;Time Limit;7201.276622772217
