seed;pattern;best fractionary solution;best integer solution;status;time
279;[[0, 0, 3, 2, 1, 0], [3, 0, 2, 1, 1, 1], [0, 3, 2, 2, 2, 1], [3, 3, 3, 1, 2, 0]];None;715.0;Optimal;1.8195140361785889
433;[[0, 0, 0, 3, 1, 2], [0, 2, 3, 1, 1, 1], [2, 2, 0, 1, 3, 2], [2, 0, 3, 3, 3, 1]];None;914.0;Optimal;1.8260304927825928
547;[[0, 0, 0, 3, 1, 2], [0, 2, 3, 1, 1, 1], [2, 2, 0, 1, 3, 2], [2, 0, 3, 3, 3, 1]];None;1115.0;Optimal;1.4255118370056152
910;[[1, 3, 0, 0, 0, 2], [1, 1, 3, 0, 2, 1], [3, 1, 0, 2, 2, 2], [3, 3, 3, 2, 0, 1]];None;772.0;Optimal;1.4956235885620117
937;[[0, 0, 1, 2, 3, 0], [1, 1, 1, 3, 2, 0], [0, 1, 3, 2, 2, 2], [1, 0, 3, 3, 3, 2]];None;383.0;Optimal;2.5698158740997314
