seed;pattern;best fractionary solution;best integer solution;status;time
306;[[0, 5, 4, 0, 2, 0, 0, 0, 3, 1], [0, 3, 1, 1, 1, 2, 4, 5, 1, 1], [2, 2, 5, 0, 2, 2, 2, 4, 1, 3], [4, 3, 1, 3, 3, 5, 2, 0, 3, 3], [4, 2, 4, 1, 3, 0, 4, 4, 5, 4], [2, 5, 5, 3, 1, 5, 0, 5, 5, 4]];None;1616.0;Time Limit;7202.354423999786
33;[[5, 3, 2, 0, 4, 0, 0, 0, 1, 0], [1, 4, 1, 2, 5, 3, 1, 1, 1, 0], [1, 5, 2, 2, 3, 0, 4, 2, 2, 2], [4, 3, 3, 5, 3, 3, 1, 0, 2, 3], [4, 4, 1, 0, 4, 4, 4, 2, 5, 3], [5, 5, 3, 5, 5, 4, 0, 1, 5, 2]];None;1376.0;Time Limit;7202.50244808197
690;[[0, 2, 3, 0, 0, 5, 1, 4, 0, 0], [1, 1, 4, 3, 1, 1, 1, 2, 0, 5], [2, 2, 5, 4, 1, 2, 2, 2, 3, 0], [1, 4, 3, 3, 0, 2, 5, 3, 3, 3], [0, 4, 4, 4, 5, 1, 2, 4, 4, 3], [2, 1, 5, 0, 5, 5, 5, 3, 4, 5]];None;1756.0;Time Limit;7203.079332828522
89;[[5, 1, 0, 0, 0, 3, 2, 4, 0, 0], [1, 1, 0, 4, 1, 5, 3, 2, 1, 1], [1, 2, 2, 5, 0, 4, 2, 2, 2, 3], [3, 3, 4, 0, 1, 3, 3, 5, 2, 3], [3, 2, 4, 4, 5, 4, 4, 4, 1, 0], [5, 3, 2, 5, 5, 5, 4, 5, 0, 1]];None;2057.0;Time Limit;7202.921351671219
966;[[5, 4, 0, 0, 1, 2, 3, 0, 0, 0], [1, 1, 4, 0, 1, 1, 1, 3, 2, 5], [1, 5, 2, 2, 3, 2, 4, 0, 2, 2], [4, 1, 0, 3, 3, 5, 3, 3, 3, 2], [4, 4, 4, 2, 5, 1, 4, 4, 3, 0], [5, 5, 2, 3, 5, 5, 1, 4, 0, 5]];None;1681.0;Time Limit;7203.215607404709
