seed;pattern;best fractionary solution;best integer solution;status;time
306;[[1, 3, 0, 0, 0, 5, 0, 0, 2, 4], [1, 1, 0, 2, 1, 1, 5, 4, 3, 1], [4, 2, 2, 2, 1, 3, 0, 2, 2, 5], [3, 3, 2, 4, 5, 3, 3, 0, 3, 1], [4, 2, 5, 4, 0, 1, 3, 4, 4, 4], [3, 1, 5, 0, 5, 5, 5, 2, 4, 5]];1687.0;1687.0;Time Limit;7200.4513194561005
33;[[0, 1, 0, 0, 0, 2, 0, 3, 5, 4], [0, 1, 3, 5, 2, 1, 1, 1, 4, 1], [2, 2, 4, 0, 2, 2, 2, 5, 3, 1], [3, 2, 3, 3, 0, 4, 1, 3, 3, 5], [2, 4, 4, 3, 5, 4, 0, 1, 4, 4], [3, 4, 0, 5, 5, 1, 2, 5, 5, 5]];1472.0;1472.0;Time Limit;7200.2741639614105
690;[[3, 1, 0, 0, 4, 2, 5, 0, 0, 0], [1, 1, 0, 2, 1, 1, 4, 3, 5, 1], [1, 4, 5, 2, 2, 2, 3, 0, 2, 2], [3, 3, 3, 5, 1, 4, 3, 3, 0, 2], [4, 4, 3, 0, 4, 4, 4, 5, 2, 1], [4, 3, 5, 5, 2, 1, 5, 5, 5, 0]];1788.0000000000005;1788.0;Time Limit;7200.608073472977
89;[[0, 0, 0, 1, 4, 0, 0, 5, 2, 3], [1, 4, 0, 1, 1, 1, 5, 2, 3, 1], [3, 2, 2, 2, 1, 0, 4, 2, 2, 5], [3, 2, 5, 3, 3, 1, 0, 4, 3, 3], [0, 4, 2, 3, 4, 5, 4, 4, 4, 1], [1, 0, 5, 2, 3, 5, 5, 5, 4, 5]];2080.0;2080.0;Time Limit;7200.64409828186
966;[[0, 3, 2, 0, 1, 5, 4, 0, 0, 0], [0, 4, 1, 1, 1, 3, 2, 5, 1, 1], [2, 5, 2, 3, 2, 2, 2, 0, 4, 1], [2, 3, 1, 3, 3, 3, 5, 4, 0, 3], [5, 4, 4, 1, 3, 2, 4, 4, 4, 0], [5, 5, 4, 0, 2, 5, 5, 5, 1, 3]];1764.0000000000002;1764.0;Time Limit;7200.415320158005
